trigram,frequency,probability
F[1]4-G[1]4-A4,6,0.00037457859907603946
G4-A4-F4,44,0.0027469097265576227
A4-F4-E4,25,0.001560744162816831
F4-E4-Rest,24,0.0014983143963041578
B3-B3-B3,1,6.242976651267325e-05
B3-B3-E4,1,6.242976651267325e-05
B3-E4-F[1]4,1,6.242976651267325e-05
F[1]4-G4-F[1]4,4,0.000249719066050693
E4-Rest-B4,1,6.242976651267325e-05
Rest-D5-D[1]5,1,6.242976651267325e-05
D5-D[1]5-D[1]5,2,0.0001248595330253465
D[1]5-D[1]5-G4,1,6.242976651267325e-05
D[1]5-G4-G[1]4,1,6.242976651267325e-05
G4-G[1]4-C5,2,0.0001248595330253465
G[1]4-C5-B4,5,0.0003121488325633662
Rest-D4-D[1]4,1,6.242976651267325e-05
D4-D[1]4-D[1]4,1,6.242976651267325e-05
D[1]4-D[1]4-G4,1,6.242976651267325e-05
D[1]4-G4-A4,1,6.242976651267325e-05
B4-A4-G[1]4,10,0.0006242976651267324
A4-G[1]4-F[1]4,10,0.0006242976651267324
G[1]4-F[1]4-E4,7,0.0004370083655887127
E4-Rest-Rest,5,0.0003121488325633662
C4-A3-B[-1]3,2,0.0001248595330253465
A3-B[-1]3-C4,5,0.0003121488325633662
B[-1]3-C4-C4,2,0.0001248595330253465
C4-C4-D4,7,0.0004370083655887127
C4-D4-C4,20,0.001248595330253465
D4-C4-B[-1]3,4,0.000249719066050693
C4-B[-1]3-A3,5,0.0003121488325633662
B[-1]3-A3-C4,1,6.242976651267325e-05
A3-C4-B[-1]3,1,6.242976651267325e-05
B[-1]3-A3-G3,4,0.000249719066050693
A3-G3-F3,4,0.000249719066050693
G3-F3-G3,3,0.00018728929953801973
F3-G3-A3,2,0.0001248595330253465
G3-A3-B[-1]3,3,0.00018728929953801973
B[-1]3-C4-D4,2,0.0001248595330253465
C4-D4-D4,14,0.0008740167311774254
D4-D4-E[-1]4,1,6.242976651267325e-05
D4-E[-1]4-D4,2,0.0001248595330253465
E[-1]4-D4-C4,2,0.0001248595330253465
D4-C4-D4,30,0.0018728929953801972
D4-C4-A3,2,0.0001248595330253465
B[-1]3-A3-B3,1,6.242976651267325e-05
A3-B3-C4,18,0.0011237357972281184
B3-C4-D4,7,0.0004370083655887127
B[-1]3-A3-A3,1,6.242976651267325e-05
A3-A3-B[-1]3,1,6.242976651267325e-05
A3-B[-1]3-A3,2,0.0001248595330253465
A3-G3-A3,1,6.242976651267325e-05
C4-D4-Rest,3,0.00018728929953801973
D4-Rest-D4,10,0.0006242976651267324
Rest-D4-E[-1]4,1,6.242976651267325e-05
D4-C4-B3,17,0.001061306030715445
C4-B3-C4,11,0.0006867274316394057
B3-C4-Rest,12,0.0007491571981520789
C4-Rest-Rest,7,0.0004370083655887127
G4-D4-D4,2,0.0001248595330253465
D4-D4-F4,5,0.0003121488325633662
D4-F4-G4,8,0.000499438132101386
F4-G4-B[-1]4,9,0.0005618678986140592
G4-B[-1]4-A4,38,0.002372331127481583
B[-1]4-A4-D5,12,0.0007491571981520789
A4-D5-C5,47,0.0029341990260956423
C5-B[-1]4-G4,20,0.001248595330253465
B[-1]4-G4-G4,12,0.0007491571981520789
G4-A4-C5,33,0.002060182294918217
A4-C5-B[-1]4,40,0.00249719066050693
C5-B[-1]4-A4,283,0.017667623923086528
B[-1]4-A4-G4,299,0.0186665001872893
A4-Rest-Rest,11,0.0006867274316394057
Rest-Rest-A4,3,0.00018728929953801973
A4-B4-C[1]5,11,0.0006867274316394057
B4-C[1]5-D5,19,0.0011861655637407916
D5-C5-D5,47,0.0029341990260956423
C5-D5-B[-1]4,36,0.002247471594456237
D5-B[-1]4-A4,27,0.0016856036958421776
B[-1]4-A4-B[-1]4,35,0.0021850418279435635
A4-B[-1]4-A4,70,0.004370083655887127
Rest-A4-D4,1,6.242976651267325e-05
A4-D4-E4,4,0.000249719066050693
D4-E4-F4,62,0.003870645523785741
E4-F4-F4,19,0.0011861655637407916
F4-F4-G4,61,0.003808215757273068
G4-F4-G4,75,0.004682232488450493
F4-G4-G4,30,0.0018728929953801972
G4-G4-C5,11,0.0006867274316394057
G4-C5-B4,18,0.0011237357972281184
A4-C5-D5,18,0.0011237357972281184
C5-D5-B4,22,0.0013734548632788114
B4-A4-E5,5,0.0003121488325633662
A4-E5-D5,9,0.0005618678986140592
A4-G4-B4,9,0.0005618678986140592
G4-B4-C5,7,0.0004370083655887127
C5-D5-E5,52,0.0032463478586590086
G4-A4-D5,9,0.0005618678986140592
D4-D4-D4,16,0.000998876264202772
D4-D4-G4,5,0.0003121488325633662
D4-G4-A4,13,0.0008115869646647522
F4-E4-D4,116,0.0072418529154700964
E4-D4-G4,10,0.0006242976651267324
G4-A4-G4,95,0.005930827818703958
F4-E4-F4,51,0.0031839180921463353
E4-F4-Rest,18,0.0011237357972281184
F4-Rest-E4,7,0.0004370083655887127
Rest-E4-G4,3,0.00018728929953801973
E4-D4-C[1]4,9,0.0005618678986140592
D4-C[1]4-D4,13,0.0008115869646647522
C[1]4-D4-F4,1,6.242976651267325e-05
D4-F4-E4,10,0.0006242976651267324
C[1]4-D4-Rest,8,0.000499438132101386
D4-Rest-Rest,10,0.0006242976651267324
A4-C5-C[1]5,13,0.0008115869646647522
C5-C[1]5-D5,3,0.00018728929953801973
C[1]5-D5-D5,5,0.0003121488325633662
E5-E5-E5,40,0.00249719066050693
E5-E5-G5,2,0.0001248595330253465
E5-G5-G[1]5,3,0.00018728929953801973
G5-G[1]5-F5,3,0.00018728929953801973
G[1]5-F5-D5,1,6.242976651267325e-05
E5-G5-F5,9,0.0005618678986140592
G5-F5-E5,27,0.0016856036958421776
D5-C5-E5,9,0.0005618678986140592
C5-E5-C[1]5,5,0.0003121488325633662
E5-C[1]5-B4,3,0.00018728929953801973
A4-Rest-E5,5,0.0003121488325633662
Rest-E5-D5,12,0.0007491571981520789
D5-C5-A4,63,0.003933075290298414
C5-A4-B4,22,0.0013734548632788114
A4-G4-E4,20,0.001248595330253465
A4-C5-C5,59,0.003683356224247721
C5-C5-E5,6,0.00037457859907603946
E5-C[1]5-A4,3,0.00018728929953801973
C[1]5-A4-G4,7,0.0004370083655887127
C5-C5-B4,37,0.0023099013609689098
C5-B4-C[1]5,12,0.0007491571981520789
B4-C[1]5-A4,2,0.0001248595330253465
C[1]5-A4-B4,1,6.242976651267325e-05
A4-G4-C5,34,0.00212261206143089
G4-C5-C5,18,0.0011237357972281184
C[1]5-D5-E5,16,0.000998876264202772
D5-E5-C5,15,0.0009364464976900986
E5-C5-B4,3,0.00018728929953801973
A4-G4-C[1]5,3,0.00018728929953801973
G4-C[1]5-C5,1,6.242976651267325e-05
C[1]5-C5-E5,2,0.0001248595330253465
G4-A4-Rest,37,0.0023099013609689098
G4-F4-D4,21,0.001311025096766138
F4-D4-F4,4,0.000249719066050693
F4-G4-Rest,16,0.000998876264202772
G4-Rest-G4,32,0.001997752528405544
Rest-G4-B[-1]4,11,0.0006867274316394057
Rest-G4-A4,28,0.0017480334623548508
A4-A4-D5,29,0.0018104632288675241
B[-1]4-A4-B4,13,0.0008115869646647522
G4-F4-Rest,139,0.00867773754526158
F4-Rest-G4,9,0.0005618678986140592
C5-D5-C5,132,0.008240729179672867
C5-B[-1]4-B[-1]4,17,0.001061306030715445
B[-1]4-B[-1]4-A4,34,0.00212261206143089
F4-A4-A4,47,0.0029341990260956423
A4-A4-B[-1]4,51,0.0031839180921463353
A4-B[-1]4-B[-1]4,43,0.0026844799600449494
B[-1]4-B[-1]4-B[-1]4,21,0.001311025096766138
B[-1]4-B[-1]4-C5,22,0.0013734548632788114
B[-1]4-C5-C5,51,0.0031839180921463353
C5-C5-Rest,23,0.0014358846297914845
C5-Rest-C5,50,0.003121488325633662
C5-C5-A4,91,0.005681108752653265
C5-A4-B[-1]4,72,0.004494943188912474
B[-1]4-C5-A4,62,0.003870645523785741
C5-A4-G4,74,0.0046198027219378195
G4-F4-F4,55,0.003433637158197028
F4-F4-F4,82,0.005119240854039206
F4-F4-A4,67,0.0041827943563491074
F4-F4-C5,22,0.0013734548632788114
F4-C5-C5,45,0.002809339493070296
C5-C5-B[-1]4,76,0.004744662254963166
B[-1]4-A4-A4,49,0.003059058559120989
D5-C5-C5,66,0.004120364589836434
C5-A4-C5,35,0.0021850418279435635
A4-Rest-B[-1]4,7,0.0004370083655887127
Rest-B[-1]4-C5,7,0.0004370083655887127
C5-C5-C5,191,0.011924085403920589
G4-F4-A4,18,0.0011237357972281184
A4-F4-G4,53,0.003308777625171682
Rest-C5-D5,22,0.0013734548632788114
F4-Rest-C4,6,0.00037457859907603946
Rest-C4-F4,11,0.0006867274316394057
C4-F4-G4,18,0.0011237357972281184
G4-A4-B[-1]4,161,0.010051192408540391
A4-B[-1]4-G4,73,0.004557372955425147
B[-1]4-G4-F4,48,0.0029966287926083157
Rest-G4-C5,5,0.0003121488325633662
C5-B[-1]4-F4,1,6.242976651267325e-05
B[-1]4-F4-G4,2,0.0001248595330253465
A4-B[-1]4-Rest,13,0.0008115869646647522
B[-1]4-Rest-G4,2,0.0001248595330253465
G4-C5-B[-1]4,11,0.0006867274316394057
B[-1]4-A4-Rest,37,0.0023099013609689098
A4-Rest-G4,22,0.0013734548632788114
A4-B[-1]4-C5,174,0.010862779373205143
B[-1]4-C5-F4,7,0.0004370083655887127
C5-F4-G4,4,0.000249719066050693
F4-G4-F4,53,0.003308777625171682
F4-Rest-Rest,32,0.001997752528405544
G3-C4-B3,1,6.242976651267325e-05
C4-D4-B3,5,0.0003121488325633662
D4-B3-F[1]3,1,6.242976651267325e-05
B3-F[1]3-G3,1,6.242976651267325e-05
F[1]3-G3-C4,1,6.242976651267325e-05
G3-C4-F4,1,6.242976651267325e-05
D4-E4-Rest,5,0.0003121488325633662
Rest-C4-E4,8,0.000499438132101386
C4-E4-F4,7,0.0004370083655887127
F4-G4-C4,5,0.0003121488325633662
G4-C4-D4,4,0.000249719066050693
E4-F4-C4,1,6.242976651267325e-05
F4-C4-E4,1,6.242976651267325e-05
C4-E4-C4,2,0.0001248595330253465
G4-G4-B[-1]4,14,0.0008740167311774254
B[-1]4-B4-D5,2,0.0001248595330253465
B[-1]4-Rest-Rest,2,0.0001248595330253465
Rest-Rest-B[-1]4,1,6.242976651267325e-05
Rest-B[-1]4-B[-1]4,4,0.000249719066050693
G4-F4-B4,1,6.242976651267325e-05
F4-B4-A4,1,6.242976651267325e-05
Rest-Rest-F4,7,0.0004370083655887127
Rest-F4-F4,28,0.0017480334623548508
F4-F4-E[-1]4,1,6.242976651267325e-05
F4-E[-1]4-D4,2,0.0001248595330253465
E[-1]4-D4-F4,1,6.242976651267325e-05
D4-F4-B[-1]4,1,6.242976651267325e-05
F4-B[-1]4-G4,2,0.0001248595330253465
G4-Rest-B[-1]4,5,0.0003121488325633662
B[-1]4-C5-B[-1]4,42,0.002622050193532276
G4-F4-E[-1]4,1,6.242976651267325e-05
E[-1]4-D4-Rest,1,6.242976651267325e-05
A4-B[-1]4-D5,3,0.00018728929953801973
A4-B[-1]4-B4,15,0.0009364464976900986
D5-D5-E[-1]5,4,0.000249719066050693
B[-1]4-B4-A4,14,0.0008740167311774254
A4-G4-D5,23,0.0014358846297914845
G4-D5-C5,19,0.0011861655637407916
C5-B[-1]4-C5,23,0.0014358846297914845
B4-G4-Rest,4,0.000249719066050693
G4-Rest-Rest,25,0.001560744162816831
F4-Rest-F4,33,0.002060182294918217
Rest-F4-A4,15,0.0009364464976900986
F4-A4-B[-1]4,38,0.002372331127481583
B[-1]4-G4-A4,40,0.00249719066050693
F4-D4-G4,4,0.000249719066050693
D4-G4-F[1]4,7,0.0004370083655887127
G4-F[1]4-G4,42,0.002622050193532276
Rest-F4-G4,10,0.0006242976651267324
D4-G4-F4,10,0.0006242976651267324
G4-F4-F[1]4,15,0.0009364464976900986
F4-F[1]4-E4,10,0.0006242976651267324
F[1]4-E4-G4,1,6.242976651267325e-05
E4-G4-Rest,1,6.242976651267325e-05
F4-D4-F[1]4,1,6.242976651267325e-05
D4-F[1]4-G4,1,6.242976651267325e-05
F[1]4-G4-A4,15,0.0009364464976900986
C5-B4-C5,40,0.00249719066050693
G4-Rest-F4,14,0.0008740167311774254
B4-G4-A4,18,0.0011237357972281184
A4-Rest-D5,20,0.001248595330253465
E[-1]5-D5-C5,16,0.000998876264202772
G4-G4-D4,13,0.0008115869646647522
G4-D4-E4,5,0.0003121488325633662
D4-E4-F[1]4,9,0.0005618678986140592
F[1]4-G4-G4,12,0.0007491571981520789
G4-G4-Rest,10,0.0006242976651267324
F4-F[1]4-Rest,3,0.00018728929953801973
F[1]4-Rest-F4,1,6.242976651267325e-05
C5-A4-F4,48,0.0029966287926083157
A4-F4-Rest,12,0.0007491571981520789
C5-F4-F4,12,0.0007491571981520789
F4-F4-E4,26,0.0016231739293295043
E4-D4-E4,32,0.001997752528405544
E4-F4-D4,19,0.0011861655637407916
F4-D4-C4,22,0.0013734548632788114
C4-Rest-C5,4,0.000249719066050693
Rest-D5-Rest,5,0.0003121488325633662
Rest-C5-G4,1,6.242976651267325e-05
C5-G4-A4,24,0.0014983143963041578
Rest-E4-F4,12,0.0007491571981520789
A4-F4-F4,23,0.0014358846297914845
B[-1]4-C5-G4,7,0.0004370083655887127
C5-G4-F4,1,6.242976651267325e-05
D4-C4-C5,8,0.000499438132101386
C4-C5-C5,6,0.00037457859907603946
D5-C5-G4,3,0.00018728929953801973
C5-C5-F4,13,0.0008115869646647522
D5-C5-F4,10,0.0006242976651267324
A4-D5-D5,28,0.0017480334623548508
B[-1]4-A4-C5,7,0.0004370083655887127
G4-G4-F[1]4,11,0.0006867274316394057
G4-B4-A4,12,0.0007491571981520789
G4-E4-C4,5,0.0003121488325633662
E4-C4-C[1]4,1,6.242976651267325e-05
C4-C[1]4-G4,1,6.242976651267325e-05
C[1]4-G4-E4,1,6.242976651267325e-05
G4-E4-F4,28,0.0017480334623548508
F4-D4-E4,15,0.0009364464976900986
F4-G4-D4,4,0.000249719066050693
G4-D4-C4,4,0.000249719066050693
D4-C4-G4,15,0.0009364464976900986
C4-G4-A4,12,0.0007491571981520789
A4-A4-F4,28,0.0017480334623548508
G4-G4-F4,69,0.004307653889374454
E4-E4-C4,2,0.0001248595330253465
E4-C4-B3,2,0.0001248595330253465
B3-C4-E4,2,0.0001248595330253465
F4-F[1]4-B[-1]4,3,0.00018728929953801973
F[1]4-B[-1]4-C5,2,0.0001248595330253465
F4-F[1]4-G4,11,0.0006867274316394057
Rest-F4-B[-1]4,1,6.242976651267325e-05
F4-B[-1]4-C5,2,0.0001248595330253465
B4-C5-Rest,13,0.0008115869646647522
Rest-C5-E5,2,0.0001248595330253465
C5-E5-G5,1,6.242976651267325e-05
E5-G5-A5,1,6.242976651267325e-05
G5-A5-A5,1,6.242976651267325e-05
A5-A5-G5,1,6.242976651267325e-05
A5-G5-F[1]5,1,6.242976651267325e-05
G5-F[1]5-E5,5,0.0003121488325633662
F[1]5-E5-D5,13,0.0008115869646647522
B[-1]4-C5-C[1]5,3,0.00018728929953801973
A4-G4-F[1]4,46,0.002871769259582969
G4-F[1]4-F4,1,6.242976651267325e-05
F[1]4-F4-E4,2,0.0001248595330253465
C[1]4-D4-D4,2,0.0001248595330253465
D4-D4-Rest,2,0.0001248595330253465
G4-F4-C5,17,0.001061306030715445
F4-C5-D5,12,0.0007491571981520789
G4-F4-B[-1]4,16,0.000998876264202772
F4-B[-1]4-A4,13,0.0008115869646647522
D4-D4-A4,12,0.0007491571981520789
D4-A4-A4,12,0.0007491571981520789
A4-B4-B4,32,0.001997752528405544
B4-A4-D5,11,0.0006867274316394057
A4-D5-A4,4,0.000249719066050693
D5-A4-C5,6,0.00037457859907603946
F4-D4-A4,4,0.000249719066050693
A4-C5-A4,16,0.000998876264202772
A4-A4-D4,5,0.0003121488325633662
A4-D4-F4,1,6.242976651267325e-05
E4-D4-Rest,41,0.002559620427019603
F4-Rest-A4,11,0.0006867274316394057
B[-1]4-A4-F4,27,0.0016856036958421776
F4-Rest-F[1]4,6,0.00037457859907603946
Rest-F[1]4-F[1]4,4,0.000249719066050693
F[1]4-F[1]4-A4,1,6.242976651267325e-05
F[1]4-A4-G4,1,6.242976651267325e-05
F[1]4-E4-D4,14,0.0008740167311774254
C4-Rest-C[1]4,2,0.0001248595330253465
Rest-C[1]4-D4,2,0.0001248595330253465
C[1]4-D4-E4,6,0.00037457859907603946
D4-A4-G4,7,0.0004370083655887127
D4-E4-D4,22,0.0013734548632788114
C5-D5-D[1]5,3,0.00018728929953801973
D5-D[1]5-E5,4,0.000249719066050693
D[1]5-E5-D5,3,0.00018728929953801973
D5-B4-D[1]5,2,0.0001248595330253465
B4-D[1]5-C[1]5,2,0.0001248595330253465
D[1]5-C[1]5-B4,2,0.0001248595330253465
F4-E4-B4,1,6.242976651267325e-05
E4-B4-C5,3,0.00018728929953801973
F4-E4-G[1]4,1,6.242976651267325e-05
E4-G[1]4-C5,2,0.0001248595330253465
B4-A4-E4,9,0.0005618678986140592
A4-B4-D5,7,0.0004370083655887127
B4-D5-D[1]5,1,6.242976651267325e-05
D5-D[1]5-C5,3,0.00018728929953801973
D[1]5-C5-B4,3,0.00018728929953801973
C4-C4-E4,4,0.000249719066050693
C4-E4-D4,8,0.000499438132101386
C4-B3-B3,3,0.00018728929953801973
B3-B3-A3,4,0.000249719066050693
B3-A3-B3,9,0.0005618678986140592
B3-C4-G3,2,0.0001248595330253465
C4-G3-A3,2,0.0001248595330253465
G3-A3-B3,5,0.0003121488325633662
Rest-C4-C4,2,0.0001248595330253465
D4-E4-C4,6,0.00037457859907603946
C4-B3-A3,16,0.000998876264202772
B3-A3-G3,6,0.00037457859907603946
A3-G3-Rest,7,0.0004370083655887127
G3-Rest-B3,1,6.242976651267325e-05
Rest-B3-C4,1,6.242976651267325e-05
B3-C4-B3,2,0.0001248595330253465
B3-C4-A3,6,0.00037457859907603946
C4-A3-G3,6,0.00037457859907603946
A3-G3-E3,1,6.242976651267325e-05
G3-E3-B3,1,6.242976651267325e-05
E3-B3-C4,1,6.242976651267325e-05
B3-C4-C4,1,6.242976651267325e-05
D4-D4-E4,15,0.0009364464976900986
E4-D4-F4,8,0.000499438132101386
D4-B3-C4,1,6.242976651267325e-05
E5-D5-E5,24,0.0014983143963041578
E5-F5-G5,8,0.000499438132101386
F5-G5-G5,2,0.0001248595330253465
G5-G5-F5,11,0.0006867274316394057
E5-D5-C[1]5,14,0.0008740167311774254
D5-C[1]5-D5,12,0.0007491571981520789
B4-C5-B[-1]4,8,0.000499438132101386
G4-F4-D5,1,6.242976651267325e-05
F4-D5-D5,1,6.242976651267325e-05
F4-G4-E4,36,0.002247471594456237
G4-E4-D4,24,0.0014983143963041578
F4-A4-C5,11,0.0006867274316394057
A4-C5-F5,4,0.000249719066050693
C5-F5-E5,18,0.0011237357972281184
D5-C5-Rest,26,0.0016231739293295043
E5-F5-F5,9,0.0005618678986140592
F5-F5-E5,20,0.001248595330253465
A4-Rest-F4,13,0.0008115869646647522
F4-A4-G4,45,0.002809339493070296
C5-F4-Rest,4,0.000249719066050693
